"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Navigation","Back Navigation","0","1","0","0","0"
"","","","9","7","8","0","0"
"","UI Elements","Site Header","1","0","0","0","0"
"","E2E","Catalog to Product Details","1","0","0","0","0"
"","Navigation","Page Accessibility","0","0","3","0","0"
"","UI Elements","Search Input","0","3","0","0","0"
"","UI Elements","Page Language","1","0","0","0","0"
"","UI Elements","Page Title","0","0","1","0","0"
"","E2E","Add to Cart","0","1","0","0","0"
"","Navigation","Unknown Page","0","0","1","0","0"
