"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 09 12:51:46 UTC 2026","Sun Aug 09 12:52:16 UTC 2026","30001","tests","test_navigation","TestNavigation","","","test_browser_back_returns_to_home","Browser back button returns to home page"
"broken","Sun Aug 09 12:49:10 UTC 2026","Sun Aug 09 12:49:40 UTC 2026","30313","tests","test_cart","TestCart","","","test_add_product_to_cart_via_search","Adding a product to cart via search"
"failed","Sun Aug 09 12:56:55 UTC 2026","Sun Aug 09 12:56:55 UTC 2026","196","tests","test_ui","TestUI","","","test_header_has_logo_and_search","Header contains logo and search input simultaneously"
"passed","Sun Aug 09 12:51:15 UTC 2026","Sun Aug 09 12:51:15 UTC 2026","184","tests","test_home_page","TestHomePage","","","test_header_is_visible","Site header is visible"
"failed","Sun Aug 09 12:51:02 UTC 2026","Sun Aug 09 12:51:06 UTC 2026","3591","tests","test_e2e","TestE2E","","","test_catalog_browse_to_product_details","Full flow: open catalog → go to next page → click product → check title,
        price, breadcrumbs and specifications tab"
"broken","Sun Aug 09 12:54:03 UTC 2026","Sun Aug 09 12:54:33 UTC 2026","30002","tests","test_search","TestSearch","","","test_search_nonexistent_product_shows_no_results","Search for nonexistent product shows no-results message"
"failed","Sun Aug 09 12:50:05 UTC 2026","Sun Aug 09 12:50:09 UTC 2026","3675","tests","test_catalog","TestCatalog","","","test_catalog_has_pagination","Catalog page has pagination"
"passed","Sun Aug 09 12:51:33 UTC 2026","Sun Aug 09 12:51:35 UTC 2026","2099","tests","test_navigation","TestNavigation","","","test_basket_page_accessible","Cart page opens successfully"
"failed","Sun Aug 09 12:49:04 UTC 2026","Sun Aug 09 12:49:06 UTC 2026","2128","tests","test_cart","TestCart","","","test_empty_cart_shows_empty_message","Empty cart shows the appropriate message"
"broken","Sun Aug 09 12:56:58 UTC 2026","Sun Aug 09 12:57:28 UTC 2026","30001","tests","test_ui","TestUI","","","test_search_input_cleared_after_fill_and_clear","Search input can be cleared"
"broken","Sun Aug 09 12:53:30 UTC 2026","Sun Aug 09 12:54:00 UTC 2026","30404","tests","test_search","TestSearch","","","test_search_empty_query_stays_on_page","Empty search does not cause an error"
"passed","Sun Aug 09 12:51:25 UTC 2026","Sun Aug 09 12:51:25 UTC 2026","1","tests","test_home_page","TestHomePage","","","test_page_url_is_correct","Home page URL is correct"
"failed","Sun Aug 09 12:56:19 UTC 2026","Sun Aug 09 12:56:19 UTC 2026","199","tests","test_ui","TestUI","","","test_page_has_lang_attribute","HTML element has a lang attribute"
"broken","Sun Aug 09 12:55:46 UTC 2026","Sun Aug 09 12:56:16 UTC 2026","30001","tests","test_ui","TestUI","","","test_search_input_empty_on_load","Search input is empty on home page load"
"broken","Sun Aug 09 12:52:23 UTC 2026","Sun Aug 09 12:52:53 UTC 2026","30411","tests","test_search","TestSearch","","","test_search_returns_results","Search for 'tv' returns results"
"broken","Sun Aug 09 12:54:36 UTC 2026","Sun Aug 09 12:55:06 UTC 2026","30001","tests","test_search","TestSearch","","","test_search_result_has_title_and_price","Product cards in search results contain a title and price"
"failed","Sun Aug 09 12:50:12 UTC 2026","Sun Aug 09 12:50:14 UTC 2026","2158","tests","test_catalog","TestCatalog","","","test_click_product_in_catalog_opens_product_page","Clicking a product in catalog opens the product page"
"failed","Sun Aug 09 12:49:53 UTC 2026","Sun Aug 09 12:49:57 UTC 2026","3878","tests","test_catalog","TestCatalog","","","test_laptops_catalog_loads","Laptops catalog page loads"
"broken","Sun Aug 09 12:52:57 UTC 2026","Sun Aug 09 12:53:27 UTC 2026","30002","tests","test_search","TestSearch","","","test_search_redirects_to_results_page","After searching, redirects to results page"
"passed","Sun Aug 09 12:55:43 UTC 2026","Sun Aug 09 12:55:43 UTC 2026","179","tests","test_ui","TestUI","","","test_page_title_not_empty","Browser tab title is not empty"
"passed","Sun Aug 09 12:51:43 UTC 2026","Sun Aug 09 12:51:43 UTC 2026","758","tests","test_navigation","TestNavigation","","","test_about_page_accessible","About page opens successfully"
"failed","Sun Aug 09 12:51:19 UTC 2026","Sun Aug 09 12:51:19 UTC 2026","231","tests","test_home_page","TestHomePage","","","test_footer_is_visible","Site footer is visible"
"failed","Sun Aug 09 12:49:48 UTC 2026","Sun Aug 09 12:49:50 UTC 2026","2018","tests","test_catalog","TestCatalog","","","test_smartphones_catalog_loads","Smartphones catalog page loads"
"passed","Sun Aug 09 12:49:43 UTC 2026","Sun Aug 09 12:49:45 UTC 2026","1956","tests","test_cart","TestCart","","","test_cart_checkout_button_visible_when_not_empty","Checkout button is visible when cart is not empty"
"failed","Sun Aug 09 12:48:59 UTC 2026","Sun Aug 09 12:49:01 UTC 2026","2045","tests","test_cart","TestCart","","","test_cart_page_opens","Cart page opens successfully"
"failed","Sun Aug 09 12:50:00 UTC 2026","Sun Aug 09 12:50:02 UTC 2026","2258","tests","test_catalog","TestCatalog","","","test_catalog_has_filters","Filter section is displayed in catalog"
"broken","Sun Aug 09 12:50:29 UTC 2026","Sun Aug 09 12:50:59 UTC 2026","30314","tests","test_e2e","TestE2E","","","test_search_product_and_add_to_cart","Full flow: search → open product → add to cart → verify cart contains the item"
"failed","Sun Aug 09 12:51:22 UTC 2026","Sun Aug 09 12:51:22 UTC 2026","197","tests","test_home_page","TestHomePage","","","test_search_input_is_present","Search input is present on the home page"
"passed","Sun Aug 09 12:51:38 UTC 2026","Sun Aug 09 12:51:40 UTC 2026","1774","tests","test_navigation","TestNavigation","","","test_contacts_page_accessible","Contacts page opens successfully"
"passed","Sun Aug 09 12:52:19 UTC 2026","Sun Aug 09 12:52:20 UTC 2026","708","tests","test_navigation","TestNavigation","","","test_unknown_url_does_not_crash","Unknown URL does not cause an unhandled error"
"passed","Sun Aug 09 12:51:12 UTC 2026","Sun Aug 09 12:51:12 UTC 2026","405","tests","test_home_page","TestHomePage","","","test_logo_is_visible","Logo is visible on the home page"
"passed","Sun Aug 09 12:51:28 UTC 2026","Sun Aug 09 12:51:30 UTC 2026","2066","tests","test_home_page","TestHomePage","","","test_page_loads_successfully","Page loads without errors"
"passed","Sun Aug 09 12:50:17 UTC 2026","Sun Aug 09 12:50:21 UTC 2026","3561","tests","test_catalog","TestCatalog","","","test_product_page_has_add_to_cart_button","Product page contains the add-to-cart button"
"broken","Sun Aug 09 12:55:10 UTC 2026","Sun Aug 09 12:55:40 UTC 2026","30002","tests","test_search","TestSearch","","","test_search_click_product_opens_product_page","Clicking a product in search results opens the product page"
"passed","Sun Aug 09 12:51:09 UTC 2026","Sun Aug 09 12:51:09 UTC 2026","181","tests","test_home_page","TestHomePage","","","test_page_title_contains_21vek","Page title contains the store name"
"passed","Sun Aug 09 12:50:24 UTC 2026","Sun Aug 09 12:50:26 UTC 2026","2065","tests","test_catalog","TestCatalog","","","test_product_page_has_breadcrumbs","Product page contains breadcrumbs"
"broken","Sun Aug 09 12:56:22 UTC 2026","Sun Aug 09 12:56:52 UTC 2026","30000","tests","test_ui","TestUI","","","test_search_input_accepts_text","Search input accepts text input"
